agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121003,3,04,19320,2,1,1357,KALK,"Zürich, Kalkbreite",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2074-2404,6,6,0,1,0,1,2012,10,3
VBZ,20121003,7,08,44970,2,28,998,GLAT,"Zürich, Glattwiesen",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,1,6,27,2012,10,3
VBZ,20121003,7,08,44970,2,27,2107,ROSW,"Zürich, Roswiesen",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,4,1,32,2012,10,3
VBZ,20121003,7,08,44970,2,26,2294,SCHW,"Zürich, Schwamendingerplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,20,14,29,2012,10,3
VBZ,20121003,7,08,44970,2,25,2326,SCHO,"Zürich, Schörlistrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,3,1,23,2012,10,3
VBZ,20121003,7,08,44970,2,24,2814,WALD,"Zürich, Waldgarten",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,2,3,21,2012,10,3
VBZ,20121003,7,08,44970,2,23,2666,TIER,"Zürich, Tierspital",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,0,7,22,2012,10,3
VBZ,20121003,7,08,44970,2,22,1643,MIBU,"Zürich, Milchbuck",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,7,6,29,2012,10,3
VBZ,20121003,7,08,44970,2,21,1061,GUGG,"Zürich, Guggachstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,0,6,28,2012,10,3
VBZ,20121003,7,08,44970,2,20,2158,SPLA,"Zürich, Schaffhauserplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,19,2,34,2012,10,3
VBZ,20121003,7,08,44970,2,19,2128,ROES,"Zürich, Röslistrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,0,1,17,2012,10,3
VBZ,20121003,7,08,44970,2,18,1856,OTTI,"Zürich, Ottikerstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,0,3,18,2012,10,3
VBZ,20121003,7,08,44970,2,17,2411,SONN,"Zürich, Sonneggstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2079-2031,315,315,0,1,15,21,2012,10,3
