year,month,day,hour,minute,second,delta_time,agencyid,date,route_code,servicevehicle,tripid,vehicleid,patternid,tripdirection,triplength,stopsequencenr,stopcode,stoplength,stoptimeschedule,stoptimereal,passengercounttripup,passengercounttripdown,passengercountstopup,passengercountstopdown,passengerloadstop,passengercountdoor1up,passengercountdoor1down,passengercountdoor2up,passengercountdoor2down,passengercountdoor3up,passengercountdoor3down,passengercountdoor4up,passengercountdoor4down,passengercountdoor5up,passengercountdoor5down,passengercountdoor6up,passengercountdoor6down,isredirection,isdelocalization,isrelocatization
12,10,1,0,0,0,,TPG,2012-10-01 00:00:00,8,8-17,27097080,1178,5,A,11806,6,MTTA00,1972,,2012-10-02 00:00:00,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y
12,10,1,0,0,0,100,TPG,2012-10-01 00:00:00,14,14-46,27090108,1811,6,A,12788,6,ESRT01,2379,2012-10-02 00:01:40,2012-10-02 00:00:00,42,44,3,0,6,1,0,0,0,0,0,2,0,0,0,0,0,N,N,N
12,10,1,0,0,0,-120,TPG,2012-10-01 00:00:00,5,5-30,27095549,1168,71,A,11960,17,CVIN07,5766,2012-10-01 23:58:00,2012-10-02 00:00:00,24,25,10,1,16,3,1,3,0,1,0,3,0,0,0,0,0,N,N,N
12,10,1,0,0,0,0,TPG,2012-10-01 00:00:00,9,1-4,27080477,1182,34,A,10774,1,PBAL00,0,2012-10-01 00:00:00,2012-10-01 00:00:00,16,12,4,0,4,0,0,0,0,2,0,2,0,0,0,0,0,N,N,N
12,10,1,0,0,1,21,TPG,2012-10-01 00:00:00,15,15-74,27090892,862,1,A,6832,8,ACAC01,2638,2012-10-02 00:00:22,2012-10-02 00:00:01,40,40,2,0,5,0,0,1,0,1,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,1,79,TPG,2012-10-01 00:00:00,21,21-55,27092048,1134,31,A,11616,19,MRCH02,7366,2012-10-02 00:01:20,2012-10-02 00:00:01,5,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,2,-2,TPG,2012-10-01 00:00:00,33,A-3,27085334,1105,12,R,2241,1,CHVR01,0,2012-10-01 00:00:00,2012-10-01 00:00:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,3,-46,TPG,2012-10-01 00:00:00,28,28-7,27092793,20482,7,R,12355,3,BOLX00,1095,2012-10-01 23:59:17,2012-10-02 00:00:03,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,3,-87,TPG,2012-10-01 00:00:00,1,9-72,27097657,120,46,A,5929,18,MINE00,5690,2012-10-01 23:58:36,2012-10-02 00:00:03,15,17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,3,-3,TPG,2012-10-01 00:00:00,E,G-28,27098834,1121,7,R,13561,20,VSNA01,7925,2012-10-02 00:00:00,2012-10-02 00:00:03,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,5,95,TPG,2012-10-01 00:00:00,12,12-31,27089840,861,6,A,10184,22,GCAN00,7585,2012-10-02 00:01:40,2012-10-02 00:00:05,59,60,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,5,35,TPG,2012-10-01 00:00:00,12,14-43a,27114192,892,22,R,10413,4,FAVR01,1342,2012-10-02 00:00:40,2012-10-02 00:00:05,20,22,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,5,3,TPG,2012-10-01 00:00:00,8,8-7,27097256,185,6,A,10636,16,FLRI01,5868,2012-10-02 00:00:08,2012-10-02 00:00:05,9,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,5,53,TPG,2012-10-01 00:00:00,1,9-73,27097693,121,49,R,7379,6,MOTU01,1728,2012-10-02 00:00:58,2012-10-02 00:00:05,15,16,4,0,10,1,0,0,0,2,0,1,0,0,0,0,0,N,N,N
12,10,1,0,0,6,54,TPG,2012-10-01 00:00:00,12,12-11,27089409,1812,27,R,8101,15,PLPA02,5210,2012-10-02 00:01:00,2012-10-02 00:00:06,9,10,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,8,-46,TPG,2012-10-01 00:00:00,C,5-9,27095770,1107,20,A,12017,26,RPRS00,9303,2012-10-01 23:59:22,2012-10-02 00:00:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,8,-121,TPG,2012-10-01 00:00:00,11,1-58,27088262,111,17,A,8883,23,VARV00,8199,2012-10-01 23:58:07,2012-10-02 00:00:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,8,-48,TPG,2012-10-01 00:00:00,42,42-5,27094289,512,47,A,9735,12,CENT00,4429,2012-10-01 23:59:20,2012-10-02 00:00:08,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,10,51,TPG,2012-10-01 00:00:00,12,15-85,27091187,879,22,R,10413,12,TRSI01,4257,2012-10-02 00:01:01,2012-10-02 00:00:10,48,34,7,1,20,0,0,5,0,2,0,0,1,0,0,0,0,N,N,N
12,10,1,0,0,10,10,TPG,2012-10-01 00:00:00,12,14-69,27090441,867,22,R,10413,18,PTAR01,6356,2012-10-02 00:00:20,2012-10-02 00:00:10,35,36,1,4,14,0,1,1,0,0,0,0,3,0,0,0,0,N,N,N
12,10,1,0,0,12,-12,TPG,2012-10-01 00:00:00,G,E-3,27085553,1147,55,A,12759,1,RIVE03,0,2012-10-01 00:00:00,2012-10-01 00:00:12,14,13,14,0,14,0,0,1,0,0,0,13,0,0,0,0,0,N,N,N
12,10,1,0,0,13,79,TPG,2012-10-01 00:00:00,14,14-66,27090384,864,21,R,12885,24,DODE00,12217,2012-10-02 00:01:32,2012-10-02 00:00:13,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,13,-13,TPG,2012-10-01 00:00:00,14,14-41,27089999,870,6,A,12788,17,SERV01,7346,2012-10-02 00:00:00,2012-10-02 00:00:13,46,44,0,3,24,0,1,0,1,0,1,0,0,0,0,0,0,N,N,N
12,10,1,0,0,16,68,TPG,2012-10-01 00:00:00,12,15-75,27090926,875,6,A,10184,8,MRCH00,2667,2012-10-02 00:01:24,2012-10-02 00:00:16,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,16,-136,TPG,2012-10-01 00:00:00,11,11-74,27089166,131,18,R,8598,20,NATI12,7970,2012-10-01 23:58:00,2012-10-02 00:00:16,12,8,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,N,N,N
12,10,1,0,0,17,23,TPG,2012-10-01 00:00:00,8,8-2,27097125,1183,77,R,11900,26,UIT01,10031,2012-10-02 00:00:40,2012-10-02 00:00:17,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,18,-44,TPG,2012-10-01 00:00:00,9,1-62,27088371,110,36,R,11207,13,PRRI01,4475,2012-10-01 23:59:34,2012-10-02 00:00:18,12,12,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,18,9,TPG,2012-10-01 00:00:00,2,6-16,27096435,745,82,R,8353,5,GETE01,1149,2012-10-02 00:00:27,2012-10-02 00:00:18,12,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,18,-7,TPG,2012-10-01 00:00:00,21,21-64,27092146,1133,33,R,11951,2,AMDO03,307,2012-10-02 00:00:11,2012-10-02 00:00:18,5,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,18,-118,TPG,2012-10-01 00:00:00,47,47-2,27095138,21902,14,R,2108,5,VUIL01,1317,2012-10-01 23:58:20,2012-10-02 00:00:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,19,-39,TPG,2012-10-01 00:00:00,14,14C-67,27090749,865,59,A,8298,11,AVAN00,4125,2012-10-01 23:59:40,2012-10-02 00:00:19,13,13,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,21,119,TPG,2012-10-01 00:00:00,3,3-15,27092951,766,67,A,7997,19,CLAP02,6424,2012-10-02 00:02:20,2012-10-02 00:00:21,14,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,21,-121,TPG,2012-10-01 00:00:00,9,11-77,27089300,138,36,R,11207,27,CEPR01,9389,2012-10-01 23:58:20,2012-10-02 00:00:21,33,28,0,4,11,0,0,0,2,0,1,0,1,0,0,0,0,N,N,N
12,10,1,0,0,21,-12,TPG,2012-10-01 00:00:00,V,V-5,27099571,20390,9,R,15484,24,MACH01,10665,2012-10-02 00:00:09,2012-10-02 00:00:21,6,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,21,-123,TPG,2012-10-01 00:00:00,V,V-8,27099621,20378,8,A,15766,7,FENE00,2490,2012-10-01 23:58:18,2012-10-02 00:00:21,13,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,22,54,TPG,2012-10-01 00:00:00,22,22-32,27092355,118,32,A,10803,11,OUCH00,3584,2012-10-02 00:01:16,2012-10-02 00:00:22,10,13,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,N,N,Y
12,10,1,0,0,22,18,TPG,2012-10-01 00:00:00,14,14-51,27090210,874,23,R,12885,5,BLDO03,2728,2012-10-02 00:00:40,2012-10-02 00:00:22,31,34,2,0,5,0,0,1,0,1,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,25,-5,TPG,2012-10-01 00:00:00,11,11-21,27088887,1162,18,R,8598,8,EPIN03,3094,2012-10-02 00:00:20,2012-10-02 00:00:25,7,9,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,25,215,TPG,2012-10-01 00:00:00,14,14C-52,27090578,881,90,R,13138,18,PNEV03,8393,2012-10-02 00:04:00,2012-10-02 00:00:25,20,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,25,35,TPG,2012-10-01 00:00:00,12,12-20,27081507,870,6,A,10184,1,PALE02,0,2012-10-01 00:01:00,2012-10-01 00:00:25,16,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,25,,TPG,2012-10-01 00:00:00,K,L-23,27099083,528,25,A,16845,14,VALY01,5562,,2012-10-02 00:00:25,6,6,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,N,Y,Y
12,10,1,0,0,25,55,TPG,2012-10-01 00:00:00,10,10-5,27088707,790,67,A,6338,14,COUT00,4993,2012-10-02 00:01:20,2012-10-02 00:00:25,20,28,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,N,N,N
12,10,1,0,0,26,-102,TPG,2012-10-01 00:00:00,D,D-24,27098122,20974,56,A,10130,18,PEDO00,8651,2012-10-01 23:58:44,2012-10-02 00:00:26,11,7,5,2,6,4,0,0,0,1,2,0,0,0,0,0,0,N,Y,Y
12,10,1,0,0,28,92,TPG,2012-10-01 00:00:00,45,44-5,27094605,20983,11,A,5493,12,TXVI00,3542,2012-10-02 00:02:00,2012-10-02 00:00:28,7,8,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,28,32,TPG,2012-10-01 00:00:00,15,15-84,27091162,872,1,A,6832,14,CVIN14,4826,2012-10-02 00:01:00,2012-10-02 00:00:28,25,23,6,9,4,0,0,3,5,2,3,1,1,0,0,0,0,N,N,N
12,10,1,0,0,33,-18,TPG,2012-10-01 00:00:00,12,15-79,27091034,1807,6,A,10184,14,PNEV02,4725,2012-10-02 00:00:15,2012-10-02 00:00:33,56,56,7,0,27,5,0,2,0,0,0,0,0,0,0,0,0,N,N,N
12,10,1,0,0,35,-37,TPG,2012-10-01 00:00:00,42,42-5,27094289,512,47,A,9735,13,CFIL00,4725,2012-10-01 23:59:58,2012-10-02 00:00:35,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
