year,month,day,agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop
12,10,1,VBZ,20121001,10,17,66762,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3065,163,163,0,0,0,0
12,10,1,VBZ,20121001,10,17,58410,1,1,3034,BOER,"ZÃ¼rich, Bahnhof Oerlikon",COBRA,VBZ Tram Cobra,3065,87,87,0,6,0,6
12,10,1,VBZ,20121001,10,12,72372,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,75,75,0,1,0,1
12,10,1,VBZ,20121001,10,12,22062,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,107,107,0,0,0,0
12,10,1,VBZ,20121001,10,12,62862,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,205,205,0,2,0,2
12,10,1,VBZ,20121001,10,12,47382,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,216,216,0,4,0,4
12,10,1,VBZ,20121001,10,12,57162,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,106,106,0,1,0,1
12,10,1,VBZ,20121001,10,12,37482,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,131,131,0,1,0,1
12,10,1,VBZ,20121001,10,12,82272,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,41,41,0,0,0,0
12,10,1,VBZ,20121001,10,12,27582,1,1,6232,FRAF07,"ZÃ¼rich Flughafen, Fracht",COBRA,VBZ Tram Cobra,3066,312,312,0,1,0,1
12,10,1,VBZ,20121001,10,12,87360,1,1,3034,BOER,"ZÃ¼rich, Bahnhof Oerlikon",COBRA,VBZ Tram Cobra,3066,13,13,0,2,0,2
12,10,1,VBZ,20121001,10,12,47382,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,216,216,0,50,0,54
12,10,1,VBZ,20121001,10,12,72372,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,75,75,0,14,0,15
12,10,1,VBZ,20121001,10,17,58410,1,2,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3065,87,87,0,15,0,21
12,10,1,VBZ,20121001,10,12,82272,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,41,41,0,11,0,11
12,10,1,VBZ,20121001,10,12,87360,1,2,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,13,13,0,2,0,4
12,10,1,VBZ,20121001,10,12,37482,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,131,131,0,30,1,30
12,10,1,VBZ,20121001,10,12,57162,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,106,106,0,9,0,10
12,10,1,VBZ,20121001,10,12,22062,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,107,107,0,14,0,14
12,10,1,VBZ,20121001,10,12,62862,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,205,205,0,18,1,19
12,10,1,VBZ,20121001,10,12,27582,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3066,312,312,0,24,0,25
12,10,1,VBZ,20121001,10,17,66762,1,2,3027,FLUG07,"ZÃ¼rich Flughafen, Bahnhof",COBRA,VBZ Tram Cobra,3065,163,163,0,3,0,3
12,10,1,VBZ,20121001,10,12,27582,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,312,312,0,3,2,26
12,10,1,VBZ,20121001,10,12,57162,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,106,106,0,3,1,12
12,10,1,VBZ,20121001,10,12,22062,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,107,107,0,2,0,16
12,10,1,VBZ,20121001,10,12,87360,1,3,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,4
12,10,1,VBZ,20121001,10,12,72372,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,75,75,0,1,0,16
12,10,1,VBZ,20121001,10,12,47382,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,216,216,0,2,1,55
12,10,1,VBZ,20121001,10,12,37482,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,131,131,0,0,0,30
12,10,1,VBZ,20121001,10,12,82272,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,41,41,0,0,0,11
12,10,1,VBZ,20121001,10,12,62862,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3066,205,205,0,4,1,22
12,10,1,VBZ,20121001,10,17,58410,1,3,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3065,87,87,0,2,4,19
12,10,1,VBZ,20121001,10,17,66762,1,3,6506,BABH07,"Kloten Balsberg, Bahnhof",COBRA,VBZ Tram Cobra,3065,163,163,0,2,0,5
12,10,1,VBZ,20121001,10,12,82272,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,41,41,0,0,0,11
12,10,1,VBZ,20121001,10,12,87360,1,4,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,13,13,0,4,0,8
12,10,1,VBZ,20121001,10,12,47382,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,216,216,0,0,19,36
12,10,1,VBZ,20121001,10,12,72372,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,75,75,0,1,0,17
12,10,1,VBZ,20121001,10,12,57162,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,106,106,0,1,0,13
12,10,1,VBZ,20121001,10,12,27582,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,312,312,0,7,4,29
12,10,1,VBZ,20121001,10,12,62862,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,205,205,0,10,3,29
12,10,1,VBZ,20121001,10,12,37482,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,131,131,0,3,1,32
12,10,1,VBZ,20121001,10,12,22062,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3066,107,107,0,1,0,17
12,10,1,VBZ,20121001,10,17,58410,1,4,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3065,87,87,0,1,4,16
12,10,1,VBZ,20121001,10,17,66762,1,4,2758,UNTR07,"Glattbrugg, Unterriet",COBRA,VBZ Tram Cobra,3065,163,163,0,1,0,6
12,10,1,VBZ,20121001,10,12,72372,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,75,75,0,10,0,27
12,10,1,VBZ,20121001,10,12,27582,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,312,312,0,0,2,27
12,10,1,VBZ,20121001,10,17,66762,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3065,163,163,0,19,0,25
12,10,1,VBZ,20121001,10,12,37482,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,131,131,0,2,4,30
12,10,1,VBZ,20121001,10,12,57162,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,106,106,0,5,1,17
12,10,1,VBZ,20121001,10,12,82272,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,41,41,0,0,0,11
12,10,1,VBZ,20121001,10,12,47382,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,216,216,0,2,7,31
12,10,1,VBZ,20121001,10,12,22062,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,107,107,0,0,1,16
12,10,1,VBZ,20121001,10,17,58410,1,5,1215,HIRS,"ZÃ¼rich, Hirschwiesenstrasse",COBRA,VBZ Tram Cobra,3065,87,87,0,0,1,15
12,10,1,VBZ,20121001,10,12,62862,1,5,6507,RBAU07,"RÃ¼mlang, BÃ¤uler",COBRA,VBZ Tram Cobra,3066,205,205,0,26,0,55
12,10,1,VBZ,20121001,10,12,87360,1,5,1215,HIRS,"ZÃ¼rich, Hirschwiesenstrasse",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,8
12,10,1,VBZ,20121001,10,12,47382,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,216,216,0,8,0,39
12,10,1,VBZ,20121001,10,12,87360,1,6,1643,MIBU,"ZÃ¼rich, Milchbuck",COBRA,VBZ Tram Cobra,3066,13,13,0,2,5,5
12,10,1,VBZ,20121001,10,12,37482,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,131,131,0,1,1,30
12,10,1,VBZ,20121001,10,17,66762,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3065,163,163,0,1,3,23
12,10,1,VBZ,20121001,10,12,27582,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,312,312,0,38,4,61
12,10,1,VBZ,20121001,10,12,82272,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,41,41,0,0,1,10
12,10,1,VBZ,20121001,10,17,58410,1,6,1643,MIBU,"ZÃ¼rich, Milchbuck",COBRA,VBZ Tram Cobra,3065,87,87,0,3,3,15
12,10,1,VBZ,20121001,10,12,62862,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,205,205,0,4,20,39
12,10,1,VBZ,20121001,10,12,22062,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,107,107,0,5,3,18
12,10,1,VBZ,20121001,10,12,57162,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,106,106,0,2,8,11
12,10,1,VBZ,20121001,10,12,72372,1,6,994,BGLA07,"Glattbrugg, Bahnhof",COBRA,VBZ Tram Cobra,3066,75,75,0,0,2,25
12,10,1,VBZ,20121001,10,12,27582,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,312,312,0,17,11,67
12,10,1,VBZ,20121001,10,12,47382,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,216,216,0,7,9,37
12,10,1,VBZ,20121001,10,12,82272,1,7,6508,GLIN07,"Glattbrugg, Lindberghplatz",COBRA,VBZ Tram Cobra,3066,41,41,0,1,1,10
