tripStart,routeName,routeVLD,runNumber,direction,stopId,stopNameShort,stopName,arrivalScheduled,departureScheduled,departureActual
21600,2,531,1,1,2251,DEP4,Zürich Depot 4 Elisabethenstr,21600,21600,21611
21660,2,531,1,2,1906,KALK,Zürich Kalkbreite,21660,21660,21736
21660,2,531,1,2,2248,LOCH,Zürich Lochergut,21702,21732,21798
21660,2,531,1,2,2250,ZYPR,Zürich Zypressenstrasse,21768,21792,21850
21660,2,531,1,2,1535,ALBP,Zürich Albisriederplatz,21846,21888,21923
21660,2,531,1,2,2245,LETG,Zürich Letzigrund,21948,21966,22002
21660,2,531,1,2,2253,FREI,Zürich Freihofstrasse,22014,22032,22067
21660,2,531,1,2,2244,KAPP,Zürich Kappeli,22080,22098,22146
21660,2,531,1,2,2770,GRIM,Zürich Grimselstrasse,22164,22182,22225
21660,2,531,1,2,2535,LIND,Zürich Lindenplatz,22236,22254,22288
21660,2,531,1,2,2818,BACH,Zürich Bachmattstrasse,22290,22302,22341
21660,2,531,1,2,1310,FARB,Zürich Farbhof,22356,22356,22470
22470,2,531,1,1,1310,FARB,Zürich Farbhof,22470,22470,22485
22470,2,531,1,1,2818,BACH,Zürich Bachmattstrasse,22518,22530,22540
22470,2,531,1,1,2535,LIND,Zürich Lindenplatz,22560,22590,22603
22470,2,531,1,1,2770,GRIM,Zürich Grimselstrasse,22632,22656,22668
22470,2,531,1,1,2244,KAPP,Zürich Kappeli,22722,22746,22747
22470,2,531,1,1,2253,FREI,Zürich Freihofstrasse,22788,22806,22825
22470,2,531,1,1,2245,LETG,Zürich Letzigrund,22854,22878,22891
22470,2,531,1,1,1535,ALBP,Zürich Albisriederplatz,22932,22968,22986
22470,2,531,1,1,2250,ZYPR,Zürich Zypressenstrasse,23004,23034,23080
22470,2,531,1,1,2248,LOCH,Zürich Lochergut,23070,23100,23137
22470,2,531,1,1,1906,KALK,Zürich Kalkbreite,23160,23190,23218
