serviceDate;routeId;runId;tripStart;direction;stopSequenceNr;stopId;stopNameShort;stopName;vehicleTypeShort;vehicleType;vehicleNumber;passengersBoardingTrip;passengersAlightingTrip;passengersDifferenceTrip;passengersBoardingStop;passengersAlightingStop;passengerLoadStop
20121001;"2";"01";21660;2;1;1357;"KALK";"Zürich, Kalkbreite";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;4;0;4
20121001;"2";"01";21660;2;2;1579;"LOCH";"Zürich, Lochergut";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;4;0;8
20121001;"2";"01";21660;2;3;3019;"ZYPR";"Zürich, Zypressenstrasse";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;2;0;10
20121001;"2";"01";21660;2;4;48;"ALBP";"Zürich, Albisriederplatz";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;14;1;23
20121001;"2";"01";21660;2;5;1548;"LETG";"Zürich, Letzigrund";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;0;3;20
20121001;"2";"01";21660;2;6;883;"FREI";"Zürich, Freihofstrasse";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;1;0;21
20121001;"2";"01";21660;2;7;1364;"KAPP";"Zürich, Kappeli";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;1;9;13
20121001;"2";"01";21660;2;8;1026;"GRIM";"Zürich, Grimselstrasse";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;1;5;9
20121001;"2";"01";21660;2;9;1570;"LIND";"Zürich, Lindenplatz";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;1;3;7
20121001;"2";"01";21660;2;10;137;"BACH";"Zürich, Bachmattstrasse";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;1;1;7
20121001;"2";"01";21660;2;11;821;"FARB";"Zürich, Farbhof";"COBRA";"VBZ Tram Cobra";"3026";29;29;0;0;7;0
20121001;"2";"01";22470;1;1;821;"FARB";"Zürich, Farbhof";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;15;0;15
20121001;"2";"01";22470;1;2;137;"BACH";"Zürich, Bachmattstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;4;0;19
20121001;"2";"01";22470;1;3;1570;"LIND";"Zürich, Lindenplatz";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;9;0;28
20121001;"2";"01";22470;1;4;1026;"GRIM";"Zürich, Grimselstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;4;2;30
20121001;"2";"01";22470;1;5;1364;"KAPP";"Zürich, Kappeli";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;5;1;34
20121001;"2";"01";22470;1;6;883;"FREI";"Zürich, Freihofstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;6;0;40
20121001;"2";"01";22470;1;7;1548;"LETG";"Zürich, Letzigrund";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;1;1;40
20121001;"2";"01";22470;1;8;48;"ALBP";"Zürich, Albisriederplatz";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;7;12;35
20121001;"2";"01";22470;1;9;3019;"ZYPR";"Zürich, Zypressenstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;2;0;37
20121001;"2";"01";22470;1;10;1579;"LOCH";"Zürich, Lochergut";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;6;1;42
20121001;"2";"01";22470;1;11;1357;"KALK";"Zürich, Kalkbreite";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;2;5;39
20121001;"2";"01";22470;1;12;478;"BEZI";"Zürich, Bezirksgebäude";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;0;2;37
20121001;"2";"01";22470;1;13;2556;"STAU";"Zürich, Stauffacher";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;9;13;33
20121001;"2";"01";22470;1;14;2396;"SIHS";"Zürich, Sihlstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;3;3;33
20121001;"2";"01";22470;1;15;1861;"PARA";"Zürich, Paradeplatz";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;3;8;28
20121001;"2";"01";22470;1;16;601;"BOES";"Zürich, Börsenstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;0;4;24
20121001;"2";"01";22470;1;17;615;"BURK";"Zürich, Bürkliplatz";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;0;2;22
20121001;"2";"01";22470;1;18;440;"BELL";"Zürich, Bellevue";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;10;10;22
20121001;"2";"01";22470;1;19;1845;"OPER";"Zürich, Opernhaus";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;32;9;45
20121001;"2";"01";22470;1;20;1456;"KRES";"Zürich, Kreuzstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;1;4;42
20121001;"2";"01";22470;1;21;832;"FELD";"Zürich, Feldeggstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;0;16;26
20121001;"2";"01";22470;1;22;1286;"HOES";"Zürich, Höschgasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;2;11;17
20121001;"2";"01";22470;1;23;917;"FROE";"Zürich, Fröhlichstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;0;2;15
20121001;"2";"01";22470;1;24;2907;"WILD";"Zürich, Wildbachstrasse";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;1;6;10
20121001;"2";"01";22470;1;25;3041;"BTIE";"Zürich, Bahnhof Tiefenbrunnen";"COBRA";"VBZ Tram Cobra";"3026";122;122;0;0;10;0
20121001;"2";"01";24690;2;1;3041;"BTIE";"Zürich, Bahnhof Tiefenbrunnen";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;8;0;8
20121001;"2";"01";24690;2;2;2907;"WILD";"Zürich, Wildbachstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;0;0;8
20121001;"2";"01";24690;2;3;917;"FROE";"Zürich, Fröhlichstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;7;0;15
20121001;"2";"01";24690;2;4;1286;"HOES";"Zürich, Höschgasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;6;0;21
20121001;"2";"01";24690;2;5;832;"FELD";"Zürich, Feldeggstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;5;0;26
20121001;"2";"01";24690;2;6;1456;"KRES";"Zürich, Kreuzstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;3;0;29
20121001;"2";"01";24690;2;7;1845;"OPER";"Zürich, Opernhaus";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;4;8;25
20121001;"2";"01";24690;2;8;440;"BELL";"Zürich, Bellevue";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;17;4;38
20121001;"2";"01";24690;2;9;615;"BURK";"Zürich, Bürkliplatz";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;1;0;39
20121001;"2";"01";24690;2;10;601;"BOES";"Zürich, Börsenstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;3;4;38
20121001;"2";"01";24690;2;11;1861;"PARA";"Zürich, Paradeplatz";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;1;15;24
20121001;"2";"01";24690;2;12;2396;"SIHS";"Zürich, Sihlstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;3;4;23
20121001;"2";"01";24690;2;13;2556;"STAU";"Zürich, Stauffacher";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;7;5;25
20121001;"2";"01";24690;2;14;478;"BEZI";"Zürich, Bezirksgebäude";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;0;0;25
20121001;"2";"01";24690;2;15;1357;"KALK";"Zürich, Kalkbreite";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;27;3;49
20121001;"2";"01";24690;2;16;1579;"LOCH";"Zürich, Lochergut";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;7;1;55
20121001;"2";"01";24690;2;17;3019;"ZYPR";"Zürich, Zypressenstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;0;2;53
20121001;"2";"01";24690;2;18;48;"ALBP";"Zürich, Albisriederplatz";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;41;11;83
20121001;"2";"01";24690;2;19;1548;"LETG";"Zürich, Letzigrund";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;3;8;78
20121001;"2";"01";24690;2;20;883;"FREI";"Zürich, Freihofstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;5;16;67
20121001;"2";"01";24690;2;21;1364;"KAPP";"Zürich, Kappeli";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;4;55;16
20121001;"2";"01";24690;2;22;1026;"GRIM";"Zürich, Grimselstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;1;2;15
20121001;"2";"01";24690;2;23;1570;"LIND";"Zürich, Lindenplatz";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;2;11;6
20121001;"2";"01";24690;2;24;137;"BACH";"Zürich, Bachmattstrasse";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;4;2;8
20121001;"2";"01";24690;2;25;821;"FARB";"Zürich, Farbhof";"COBRA";"VBZ Tram Cobra";"3026";159;159;0;0;8;0
20121001;"2";"01";26910;1;1;821;"FARB";"Zürich, Farbhof";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;49;0;49
20121001;"2";"01";26910;1;2;137;"BACH";"Zürich, Bachmattstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;11;0;60
20121001;"2";"01";26910;1;3;1570;"LIND";"Zürich, Lindenplatz";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;20;6;74
20121001;"2";"01";26910;1;4;1026;"GRIM";"Zürich, Grimselstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;13;3;84
20121001;"2";"01";26910;1;5;1364;"KAPP";"Zürich, Kappeli";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;13;4;93
20121001;"2";"01";26910;1;6;883;"FREI";"Zürich, Freihofstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;28;3;118
20121001;"2";"01";26910;1;7;1548;"LETG";"Zürich, Letzigrund";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;10;3;125
20121001;"2";"01";26910;1;8;48;"ALBP";"Zürich, Albisriederplatz";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;14;23;116
20121001;"2";"01";26910;1;9;3019;"ZYPR";"Zürich, Zypressenstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;10;3;123
20121001;"2";"01";26910;1;10;1579;"LOCH";"Zürich, Lochergut";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;20;4;139
20121001;"2";"01";26910;1;11;1357;"KALK";"Zürich, Kalkbreite";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;7;13;133
20121001;"2";"01";26910;1;12;478;"BEZI";"Zürich, Bezirksgebäude";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;7;16;124
20121001;"2";"01";26910;1;13;2556;"STAU";"Zürich, Stauffacher";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;27;47;104
20121001;"2";"01";26910;1;14;2396;"SIHS";"Zürich, Sihlstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;5;12;97
20121001;"2";"01";26910;1;15;1861;"PARA";"Zürich, Paradeplatz";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;15;40;72
20121001;"2";"01";26910;1;16;601;"BOES";"Zürich, Börsenstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;0;2;70
20121001;"2";"01";26910;1;17;615;"BURK";"Zürich, Bürkliplatz";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;0;6;64
20121001;"2";"01";26910;1;18;440;"BELL";"Zürich, Bellevue";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;16;10;70
20121001;"2";"01";26910;1;19;1845;"OPER";"Zürich, Opernhaus";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;57;26;101
20121001;"2";"01";26910;1;20;1456;"KRES";"Zürich, Kreuzstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;4;14;91
20121001;"2";"01";26910;1;21;832;"FELD";"Zürich, Feldeggstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;0;35;56
20121001;"2";"01";26910;1;22;1286;"HOES";"Zürich, Höschgasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;3;24;35
20121001;"2";"01";26910;1;23;917;"FROE";"Zürich, Fröhlichstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;2;14;23
20121001;"2";"01";26910;1;24;2907;"WILD";"Zürich, Wildbachstrasse";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;1;13;11
20121001;"2";"01";26910;1;25;3041;"BTIE";"Zürich, Bahnhof Tiefenbrunnen";"COBRA";"VBZ Tram Cobra";"3026";332;332;0;0;11;0
20121001;"2";"01";29190;2;1;3041;"BTIE";"Zürich, Bahnhof Tiefenbrunnen";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;7;0;7
20121001;"2";"01";29190;2;2;2907;"WILD";"Zürich, Wildbachstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;17;0;24
20121001;"2";"01";29190;2;3;917;"FROE";"Zürich, Fröhlichstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;16;0;40
20121001;"2";"01";29190;2;4;1286;"HOES";"Zürich, Höschgasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;31;0;71
20121001;"2";"01";29190;2;5;832;"FELD";"Zürich, Feldeggstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;9;5;75
20121001;"2";"01";29190;2;6;1456;"KRES";"Zürich, Kreuzstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;13;5;83
20121001;"2";"01";29190;2;7;1845;"OPER";"Zürich, Opernhaus";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;27;16;94
20121001;"2";"01";29190;2;8;440;"BELL";"Zürich, Bellevue";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;46;17;123
20121001;"2";"01";29190;2;9;615;"BURK";"Zürich, Bürkliplatz";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;3;17;109
20121001;"2";"01";29190;2;10;601;"BOES";"Zürich, Börsenstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;0;11;98
20121001;"2";"01";29190;2;11;1861;"PARA";"Zürich, Paradeplatz";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;23;23;98
20121001;"2";"01";29190;2;12;2396;"SIHS";"Zürich, Sihlstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;4;32;70
20121001;"2";"01";29190;2;13;2556;"STAU";"Zürich, Stauffacher";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;21;23;68
20121001;"2";"01";29190;2;14;478;"BEZI";"Zürich, Bezirksgebäude";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;3;8;63
20121001;"2";"01";29190;2;15;1357;"KALK";"Zürich, Kalkbreite";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;28;9;82
20121001;"2";"01";29190;2;16;1579;"LOCH";"Zürich, Lochergut";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;8;3;87
20121001;"2";"01";29190;2;17;3019;"ZYPR";"Zürich, Zypressenstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;10;3;94
20121001;"2";"01";29190;2;18;48;"ALBP";"Zürich, Albisriederplatz";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;61;22;133
20121001;"2";"01";29190;2;19;1548;"LETG";"Zürich, Letzigrund";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;1;6;128
20121001;"2";"01";29190;2;20;883;"FREI";"Zürich, Freihofstrasse";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;4;20;112
20121001;"2";"01";29190;2;21;1364;"KAPP";"Zürich, Kappeli";"COBRA";"VBZ Tram Cobra";"3026";346;346;0;3;83;32
