routeNumber,runNumber,stopSequenceNr,stopId,stopNumber,stopNameShort,arrivalScheduled,arrivalActual,departureActual,mileage,vehicleId,vehicleNumber,latitude,longitude
12,8,1,2300,6033,DEP8,16620,16632,16632,301592440,867,3062,8.54845833333333,47.4095502777778
12,8,2,1311,2572,SOER,16776,16770,16793,301592846,867,3062,8.54697472222222,47.4102122222222
12,8,1,1311,2572,SOER,16800,16802,16802,301592864,867,3062,8.54697472222222,47.4102122222222
12,8,2,1919,3447,BOEO,16860,16889,16894,301593273,867,3062,8.54788388888889,47.4137744444444
10,4,1,2299,6031,DEP5,16920,16891,16891,261586250,878,3073,8.52145805555556,47.3914925
12,8,3,1443,1552,LEUT,16968,16995,17001,301593718,867,3062,8.55151027777778,47.4148369444444
12,8,4,2257,6459,ZOER,17028,17052,17055,301594106,867,3062,8.55418222222222,47.4177616666667
2,8,1,2254,6425,ZW,17040,17045,17045,1460022441,720,2071,8.49138388888889,47.3838097222222
10,4,2,2290,648,DAMM,17088,17041,17053,261586744,878,3073,8.52623944444444,47.3882272222222
11,2,1,2299,6031,DEP5,17100,17254,17254,2014745415,546,2011,8.52145805555556,47.3914925
12,8,5,1931,6461,GGLA07,17118,17141,17146,301594514,867,3062,8.55738333333333,47.4200066666667
10,4,3,2298,2014,QUEL,17142,17097,17111,261587024,878,3073,8.52890805555556,47.3866008333333
2,6,1,2254,6425,ZW,17160,17227,17227,1462589076,714,2065,8.49138388888889,47.3838097222222
12,8,6,1928,6460,ZFER,17166,17195,17198,301594917,867,3062,8.56190277777778,47.4181277777778
10,4,4,2287,1557,LIMM,17214,17158,17192,261587348,878,3073,8.53227916666667,47.384995
11,2,1,1574,799,EWYS,17220,17365,17365,2014745646,546,2011,8.52358638888889,47.3899791666667
2,8,2,2244,1364,KAPP,17250,17125,17641,1460022639,720,2071,8.49511694444444,47.3850619444444
12,8,7,2083,132,ZAUZ,17256,17279,17284,301595516,867,3062,8.56907694444445,47.4170863888889
11,2,2,2290,648,DAMM,17268,17399,17408,2014745890,546,2011,8.52623944444444,47.3882272222222
2,8,1,2244,1364,KAPP,17280,17609,17609,1462590688,714,2065,8.49511694444444,47.3850619444444
2,8,2,2253,883,FREI,17322,17807,17808,1460023581,720,2071,8.49987083333333,47.3830302777778
10,4,6,2289,2395,SIHL,17352,17331,17354,261588074,878,3073,8.53748972222222,47.3801241666667
2,6,2,2244,1364,KAPP,17370,17441,17442,1462589547,714,2065,8.49511694444444,47.3850619444444
2,8,3,2245,1548,LETG,17388,17855,17859,1460023954,720,2071,8.50382,47.3811588888889
11,2,4,2287,1557,LIMM,17394,17502,17510,2014746490,546,2011,8.53227916666667,47.384995
2,6,2,2253,883,FREI,17412,17511,17512,1462589975,714,2065,8.49987083333333,47.3830302777778
12,8,9,1920,439,BELA07,17454,17466,17474,301596990,867,3062,8.58486277777778,47.4134947222222
11,2,5,2294,1667,MUFG,17460,17570,17579,2014746863,546,2011,8.53505277777778,47.3820452777778
2,8,4,1535,48,ALBP,17466,17651,17652,1462590951,714,2065,8.51051388888889,47.3781736111111
10,4,7,1542,413,BQUA,17484,17456,17477,261588573,878,3073,8.54203305555555,47.3776161111111
12,10,1,2300,6033,DEP8,17520,17536,17536,218911626,1016,3078,8.54845833333333,47.4095502777778
12,8,10,1687,2820,BWAL07,17526,17540,17557,301597601,867,3062,8.59327777777778,47.4125597222222
11,2,6,2289,2395,SIHL,17532,17640,17656,2014747196,546,2011,8.53748972222222,47.3801241666667
2,8,5,2250,3019,ZYPR,17538,17705,17706,1462591274,714,2065,8.51399138888889,47.3765941666667
13,3,2,2145,2950,WOLL,17562,17551,17583,225551720,950,3003,8.53079277777778,47.3383058333333
2,2,1,2251,6030,DEP4,17580,17584,17584,1519574031,700,2049,8.52163222222222,47.3733386111111
2,8,6,2248,1579,LOCH,17604,17757,17768,1462591590,714,2065,8.51772777777778,47.3753444444444
12,8,11,2187,6735,WGLA07,17610,17629,17640,301598237,867,3062,8.59811388888889,47.4091977777778
14,8,2,1311,2572,SOER,17616,17634,17634,2023034760,544,2009,8.54697472222222,47.4102122222222
2,2,1,1906,1357,KALK,17640,17663,17663,1519574200,700,2049,8.52153222222222,47.3742838888889
11,2,7,1542,413,BQUA,17664,17765,17770,2014747698,546,2011,8.54203305555555,47.3776161111111
12,10,2,1311,2572,SOER,17676,17676,17724,218912010,1016,3078,8.54697472222222,47.4102122222222
2,2,2,2248,1579,LOCH,17682,17715,17732,1519574457,700,2049,8.51772777777778,47.3753444444444
13,3,2,2488,586,BUTZ,17688,17663,17672,225552070,950,3003,8.53037333333333,47.3410805555556
2,8,7,1906,1357,KALK,17694,17828,17839,1462591874,714,2065,8.52153222222222,47.3742838888889
4,7,1,2299,6031,DEP5,17700,17723,17723,339639165,844,3037,8.52145805555556,47.3914925
12,8,12,2078,6659,WNEU07,17706,17722,17731,301598993,867,3062,8.60450888888889,47.404735
10,4,9,1816,972,GESS,17712,17613,17613,261588982,878,3073,8.53685416666667,47.3769188888889
14,8,3,1829,3034,BOER,17718,17689,17773,2023034984,544,2009,8.54453333333333,47.4113238888889
13,3,3,1511,1660,MORG,17742,17730,17740,225552364,950,3003,8.530365,47.3432575
2,2,3,2250,3019,ZYPR,17748,17776,17786,1519574767,700,2049,8.51399138888889,47.3765941666667
2,8,8,1306,478,BEZI,17760,17908,17917,1462592239,714,2065,8.52586861111111,47.3739463888889
17,6,2,2244,1364,KAPP,17790,17783,17784,1541452134,701,2050,8.49511694444444,47.3850619444444
12,8,13,2079,6660,DGIE07,17796,17811,17819,301599469,867,3062,8.60786138888889,47.4023352777778
14,8,4,1311,2572,SOER,17802,17869,17907,2023035299,544,2009,8.54697472222222,47.4102122222222
11,2,8,1895,416,BSTR,17808,17849,17862,2014747967,546,2011,8.53957,47.3763352777778
4,7,1,1574,799,EWYS,17820,17886,17886,339639411,844,3037,8.52358638888889,47.3899791666667
2,2,4,1535,48,ALBP,17826,17843,17855,1519575090,700,2049,8.51051388888889,47.3781736111111
2,8,9,1502,2556,STAU,17850,17999,18008,1462592599,714,2065,8.53029722222222,47.3735897222222
13,1,2,2145,2950,WOLL,17862,17904,17930,213857328,811,3001,8.53079277777778,47.3383058333333
4,7,2,2290,648,DAMM,17868,17921,17925,339639656,844,3037,8.52623944444444,47.3882272222222
12,8,14,2082,3785,RINW,17874,17896,17906,301600059,867,3062,8.60431527777778,47.3977025
13,5,1,2254,6425,ZW,17880,17879,17879,370248799,819,3010,8.49138388888889,47.3838097222222
11,2,9,2035,2054,RAUG,17892,17937,17945,2014748336,546,2011,8.5383025,47.3732980555556
13,1,1,2145,2950,WOLL,17904,17970,17970,213857435,811,3001,8.53079277777778,47.3383058333333
4,7,3,2298,2014,QUEL,17922,17969,17995,339639935,844,3037,8.52890805555556,47.3866008333333
2,2,5,2245,1548,LETG,17928,17940,17949,1519575695,700,2049,8.50382,47.3811588888889
8,7,1,2254,6425,ZW,17940,17990,17990,573831507,730,2082,8.49138388888889,47.3838097222222
13,3,6,2404,488,BILO,17946,17950,17954,225553475,950,3003,8.53197,47.3518325
17,2,3,2750,857,FWEG,17958,17973,17978,1515288369,729,2081,8.51209805555555,47.3937113888889
11,7,1,1884,3154,MEHA,17970,17942,17942,265845408,864,3059,8.55282777777778,47.4106597222222
10,9,2,1311,2572,SOER,17976,18112,18116,284789447,876,3071,8.54697472222222,47.4102122222222
13,1,2,2488,586,BUTZ,17982,18014,18017,213857680,811,3001,8.53037333333333,47.3410805555556
10,7,2,2290,648,DAMM,17988,17990,18004,280825693,872,3067,8.52623944444444,47.3882272222222
2,2,6,2253,883,FREI,17994,18007,18015,1519576064,700,2049,8.49987083333333,47.3830302777778
7,6,1,2081,6032,DEP7,18000,18022,18022,1478104300,737,2091,8.54397083333333,47.3950752777778
