Network_Code, Route_Code, Route_Direction, Segment, Sequence, Latitude, Longitude, Elevation
reseau_2012, D, A,0,  0, 6.127969, 46.19658, 0

reseau_2012, D, A,0,  1, 6.127994, 46.1964, 0

reseau_2012, D, A,0,  2, 6.127979, 46.19605, 0

reseau_2012, D, A,0,  3, 6.128005, 46.19582, 0

reseau_2012, D, A,1,  0, 6.128756, 46.17422, 0

reseau_2012, D, A,1,  1, 6.128788, 46.17412, 0

reseau_2012, D, A,1,  2, 6.128787, 46.17406, 0

reseau_2012, D, A,1,  3, 6.128755, 46.174, 0

reseau_2012, D, A,1,  4, 6.128718, 46.17394, 0

reseau_2012, D, A,1,  5, 6.128664, 46.17389, 0

reseau_2012, D, A,1,  6, 6.128424, 46.17375, 0

reseau_2012, D, A,1,  7, 6.127659, 46.17334, 0

reseau_2012, D, A,1,  8, 6.127355, 46.17319, 0

reseau_2012, D, A,2,  0, 6.143045, 46.20217, 0

reseau_2012, D, A,2,  1, 6.143255, 46.20165, 0

reseau_2012, D, A,2,  2, 6.143312, 46.20151, 0

reseau_2012, D, A,2,  3, 6.143385, 46.20142, 0

reseau_2012, D, A,2,  4, 6.143514, 46.20134, 0

reseau_2012, D, A,2,  5, 6.143677, 46.20129, 0

reseau_2012, D, A,3,  0, 6.142508, 46.20337, 0

reseau_2012, D, A,3,  1, 6.142583, 46.20332, 0

reseau_2012, D, A,4,  0, 6.143047, 46.20217, 0

reseau_2012, D, A,4,  1, 6.142841, 46.20269, 0

reseau_2012, D, A,5,  0, 6.142583, 46.20332, 0

reseau_2012, D, A,5,  1, 6.142841, 46.20269, 0

reseau_2012, D, A,6,  0, 6.094535, 46.15536, 0

reseau_2012, D, A,6,  1, 6.094341, 46.15522, 0

reseau_2012, D, A,7,  0, 6.079906, 46.14059, 0

reseau_2012, D, A,7,  1, 6.079367, 46.14059, 0

reseau_2012, D, A,7,  2, 6.079107, 46.14043, 0

reseau_2012, D, A,7,  3, 6.079046, 46.13993, 0

reseau_2012, D, A,7,  4, 6.078298, 46.13933, 0

reseau_2012, D, A,7,  5, 6.077801, 46.13887, 0

reseau_2012, D, A,7,  6, 6.077666, 46.1385, 0

reseau_2012, D, A,7,  7, 6.077828, 46.13814, 0

reseau_2012, D, A,7,  8, 6.077905, 46.13778, 0

reseau_2012, D, A,7,  9, 6.078119, 46.13767, 0

reseau_2012, D, A,7,  10, 6.078611, 46.13754, 0

reseau_2012, D, A,7,  11, 6.078831, 46.13721, 0

reseau_2012, D, A,7,  12, 6.079111, 46.13636, 0

reseau_2012, D, A,7,  13, 6.079168, 46.1356, 0

reseau_2012, D, A,7,  14, 6.07999, 46.13457, 0

reseau_2012, D, A,7,  15, 6.081943, 46.1336, 0

reseau_2012, D, A,7,  16, 6.085849, 46.13307, 0

reseau_2012, D, A,7,  17, 6.086463, 46.13279, 0

reseau_2012, D, A,8,  0, 6.090134, 46.12876, 0

reseau_2012, D, A,8,  1, 6.09309, 46.12355, 0

reseau_2012, D, A,8,  2, 6.093889, 46.12362, 0

reseau_2012, D, A,8,  3, 6.094978, 46.12254, 0

reseau_2012, D, A,8,  4, 6.095717, 46.12275, 0

reseau_2012, D, A,9,  0, 6.086463, 46.13279, 0

reseau_2012, D, A,9,  1, 6.087343, 46.13245, 0

reseau_2012, D, A,9,  2, 6.087694, 46.13204, 0

reseau_2012, D, A,9,  3, 6.087888, 46.13178, 0

reseau_2012, D, A,9,  4, 6.088076, 46.13177, 0

reseau_2012, D, A,9,  5, 6.088315, 46.13177, 0

reseau_2012, D, A,9,  6, 6.089034, 46.131, 0

reseau_2012, D, A,9,  7, 6.090134, 46.12876, 0

reseau_2012, D, A,10,  0, 6.128706, 46.17646, 0

reseau_2012, D, A,10,  1, 6.128677, 46.17614, 0

reseau_2012, D, A,10,  2, 6.128685, 46.17594, 0

reseau_2012, D, A,10,  3, 6.128714, 46.17541, 0

reseau_2012, D, A,10,  4, 6.128736, 46.17495, 0

reseau_2012, D, A,10,  5, 6.128756, 46.17422, 0

reseau_2012, D, A,11,  0, 6.12395, 46.17149, 0

reseau_2012, D, A,11,  1, 6.123875, 46.17142, 0

reseau_2012, D, A,11,  2, 6.123656, 46.17131, 0

reseau_2012, D, A,11,  3, 6.123543, 46.17126, 0

reseau_2012, D, A,12,  0, 6.098302, 46.15845, 0

reseau_2012, D, A,12,  1, 6.097965, 46.15815, 0

reseau_2012, D, A,12,  2, 6.097307, 46.1576, 0

reseau_2012, D, A,12,  3, 6.096821, 46.15723, 0

reseau_2012, D, A,13,  0, 6.096821, 46.15723, 0

reseau_2012, D, A,13,  1, 6.096526, 46.15699, 0

reseau_2012, D, A,13,  2, 6.096103, 46.15665, 0

reseau_2012, D, A,13,  3, 6.095832, 46.1564, 0

reseau_2012, D, A,13,  4, 6.095288, 46.15593, 0

reseau_2012, D, A,13,  5, 6.094535, 46.15536, 0

reseau_2012, D, A,14,  0, 6.094341, 46.15522, 0

reseau_2012, D, A,14,  1, 6.094264, 46.15511, 0

