ID, Name,Network_Code, Route_Code, Stop_Code, Stop_Name, Route_Direction, Route_Destination ,Latitude, Longitude, Elevation
kml_1, kml_1,reseau_2012,43,HACH00,Hameau de Chèvres,1,Loëx-Hôpital,6.076247, 46.19971, 0
kml_2, kml_2,reseau_2012,43,AGVR00,Aigues-Vertes,1,Loëx-Hôpital,6.075027, 46.19837, 0
kml_3, kml_3,reseau_2012,43,LOLA00,Loëx-Lanance,1,Loëx-Hôpital,6.083378, 46.19897, 0
kml_4, kml_4,reseau_2012,43,LOEX00,Loëx-Hôpital,2,Stade de Genève,6.085805, 46.1988, 0
kml_5, kml_5,reseau_2012,43,LOEX00,Loëx-Hôpital,1,Loëx-Hôpital,6.085805, 46.1988, 0
kml_6, kml_6,reseau_2012,43,GVRI01,Genévrière,2,Stade de Genève,6.108608, 46.17989, 0
kml_7, kml_7,reseau_2012,43,CTIL01,Courtillets,2,Stade de Genève,6.119161, 46.18269, 0
kml_8, kml_8,reseau_2012,41S,CRGE01,Carouge,2,Tours-de-Carouge,6.138114, 46.17968, 0
kml_9, kml_9,reseau_2012,NM,CRGE01,Carouge,1,Avusy,6.138114, 46.17968, 0
kml_10, kml_10,reseau_2012,45,CRGE01,Carouge,2,Tours-de-Carouge,6.138114, 46.17968, 0
kml_11, kml_11,reseau_2012,44,CRGE01,Carouge,2,Tours-de-Carouge,6.138114, 46.17968, 0
kml_12, kml_12,reseau_2012,41,CRGE01,Carouge,2,Tours-de-Carouge,6.138114, 46.17968, 0
kml_13, kml_13,reseau_2012,12,CRGE01,Carouge,2,Palettes,6.138114, 46.17968, 0
kml_14, kml_14,reseau_2012,45,GCLB01,Grange-Collomb,2,Tours-de-Carouge,6.138242, 46.17559, 0
kml_15, kml_15,reseau_2012,44,GCLB01,Grange-Collomb,2,Tours-de-Carouge,6.138242, 46.17559, 0
kml_16, kml_16,reseau_2012,44,RANN00,Route d'Annecy,1,Croix-de-Rozon-Dne,6.13914, 46.15397, 0
kml_17, kml_17,reseau_2012,NO,RANN00,Route d'Annecy,1,Bardonnex,6.13914, 46.15397, 0
kml_18, kml_18,reseau_2012,44,EVOR01,Évordes,2,Tours-de-Carouge,6.138698, 46.15128, 0
kml_19, kml_19,reseau_2012,44,EVOR00,Évordes,1,Croix-de-Rozon-Dne,6.138077, 46.15012, 0
kml_20, kml_20,reseau_2012,NO,EVOR00,Évordes,1,Bardonnex,6.138077, 46.15012, 0
kml_21, kml_21,reseau_2012,42,TCAR01,Tours-de-Carouge,1,Croisée-de-Confignon,6.135673, 46.18317, 0
kml_22, kml_22,reseau_2012,41S,TCAR01,Tours-de-Carouge,2,Tours-de-Carouge,6.135673, 46.18317, 0
kml_23, kml_23,reseau_2012,41S,TCAR01,Tours-de-Carouge,1,Petit-Veyrier,6.135673, 46.18317, 0
kml_24, kml_24,reseau_2012,44,TCAR01,Tours-de-Carouge,1,Croix-de-Rozon-Dne,6.135673, 46.18317, 0
kml_25, kml_25,reseau_2012,45,TCAR01,Tours-de-Carouge,2,Tours-de-Carouge,6.135673, 46.18317, 0
kml_26, kml_26,reseau_2012,45,TCAR01,Tours-de-Carouge,1,Troinex-Ville / Croix-de-Rozon-Dne,6.135673, 46.18317, 0
kml_27, kml_27,reseau_2012,44,TCAR01,Tours-de-Carouge,2,Tours-de-Carouge,6.135673, 46.18317, 0
kml_28, kml_28,reseau_2012,41,TCAR01,Tours-de-Carouge,2,Tours-de-Carouge,6.135673, 46.18317, 0
kml_29, kml_29,reseau_2012,41,TCAR01,Tours-de-Carouge,1,Petit-Veyrier,6.135673, 46.18317, 0
kml_30, kml_30,reseau_2012,45,PPIN00,Plateau de Pinchat,1,Troinex-Ville / Croix-de-Rozon-Dne,6.14241, 46.1717, 0
kml_31, kml_31,reseau_2012,45,PPIN01,Plateau de Pinchat,2,Tours-de-Carouge,6.142533, 46.17165, 0
kml_32, kml_32,reseau_2012,45,SAUS01,Saussac,2,Tours-de-Carouge,6.148667, 46.16232, 0
kml_33, kml_33,reseau_2012,44,CZPL01,Croix-de-Rozon-Pllace,2,Tours-de-Carouge,6.136502, 46.14553, 0
kml_34, kml_34,reseau_2012,46,COPS01,Compesières,2,Bellins,6.122412, 46.1516, 0
kml_35, kml_35,reseau_2012,46,BADO00,Badosse,1,Bardonnex,6.124236, 46.15595, 0
kml_36, kml_36,reseau_2012,46,VUAT00,Vuattes,1,Bardonnex,6.122046, 46.16863, 0
kml_37, kml_37,reseau_2012,D,CMRE00,Communes-Réunies,2,Bel-Air,6.123696, 46.17123, 0
kml_38, kml_38,reseau_2012,04,CMRE00,Communes-Réunies,2,Bel-Air,6.123696, 46.17123, 0
kml_39, kml_39,reseau_2012,46,CMRE00,Communes-Réunies,2,Bellins,6.123696, 46.17123, 0
kml_40, kml_40,reseau_2012,04,CMRE01,Communes-Réunies,1,P+R Perly,6.123543, 46.17126, 0
kml_41, kml_41,reseau_2012,NM,CMRE01,Communes-Réunies,1,Avusy,6.123543, 46.17126, 0
kml_42, kml_42,reseau_2012,46,CMRE01,Communes-Réunies,1,Bardonnex,6.123543, 46.17126, 0
kml_43, kml_43,reseau_2012,D,CMRE01,Communes-Réunies,1,St-Julien-Gare / Vitam'Parc,6.123543, 46.17126, 0
kml_44, kml_44,reseau_2012,46,COPS00,Compesières,1,Bardonnex,6.122343, 46.15159, 0
kml_45, kml_45,reseau_2012,31,BLID00,Belle-Idée,1,P+R Sous-Moulin,6.208878, 46.20659, 0
kml_46, kml_46,reseau_2012,31,SALV00,Salève,1,P+R Sous-Moulin,6.206488, 46.20531, 0
kml_47, kml_47,reseau_2012,35,BSEJ00,Beau-Séjour,1,Augustins,6.150043, 46.18874, 0
kml_48, kml_48,reseau_2012,35,BSEJ00,Beau-Séjour,2,Beau-Séjour,6.150043, 46.18874, 0
kml_49, kml_49,reseau_2012,NA,RIVE08,Rive,1,Jean Monnet,6.152308, 46.20189, 0
kml_50, kml_50,reseau_2012,12,RIVE08,Rive,2,Palettes,6.152308, 46.20189, 0
kml_51, kml_51,reseau_2012,12B,RIVE08,Rive,2,Augustins,6.152308, 46.20189, 0
kml_52, kml_52,reseau_2012,12,STAL03,De Staël,1,Moillesulaz,6.132684, 46.17605, 0
kml_53, kml_53,reseau_2012,Gb,CIVI00,Corsier-Village,2,Rive,6.223783, 46.26301, 0
kml_54, kml_54,reseau_2012,Gb,CIVI00,Corsier-Village,1,P+R Veigy,6.223783, 46.26301, 0
kml_55, kml_55,reseau_2012,G,CIVI00,Corsier-Village,2,Rive,6.223783, 46.26301, 0
kml_56, kml_56,reseau_2012,G,CIVI00,Corsier-Village,1,Corsier-Village / Veigy,6.223783, 46.26301, 0
kml_57, kml_57,reseau_2012,Gb,MNEU01,Maisons-Neuves,2,Rive,6.230136, 46.26166, 0
kml_58, kml_58,reseau_2012,Gb,MNEU01,Maisons-Neuves,1,P+R Veigy,6.230136, 46.26166, 0
kml_59, kml_59,reseau_2012,G,MNEU01,Maisons-Neuves,2,Rive,6.230136, 46.26166, 0
kml_60, kml_60,reseau_2012,G,MNEU01,Maisons-Neuves,1,Corsier-Village / Veigy,6.230136, 46.26166, 0
kml_61, kml_61,reseau_2012,C,LOUR01,La Loure,2,P+R Sous-Moulin / Malagnou,6.260624, 46.23536, 0
kml_62, kml_62,reseau_2012,96,LOUR01,La Loure,2,Malagnou,6.260624, 46.23536, 0
kml_63, kml_63,reseau_2012,C,LFRG01,La Forge,2,P+R Sous-Moulin / Malagnou,6.249907, 46.2322, 0
kml_64, kml_64,reseau_2012,96,LFRG01,La Forge,2,Malagnou,6.249907, 46.2322, 0
kml_65, kml_65,reseau_2012,C,RPRS01,Route de Presinge,2,P+R Sous-Moulin / Malagnou,6.247382, 46.22672, 0
kml_66, kml_66,reseau_2012,96,RPRS01,Route de Presinge,2,Malagnou,6.247382, 46.22672, 0
kml_67, kml_67,reseau_2012,C,RLUL01,Route de Lullier,2,P+R Sous-Moulin / Malagnou,6.248998, 46.22575, 0
kml_68, kml_68,reseau_2012,96,RLUL01,Route de Lullier,2,Malagnou,6.248998, 46.22575, 0
kml_69, kml_69,reseau_2012,07,DELC01,Délices,2,Hôpital,6.132306, 46.20533, 0
kml_70, kml_70,reseau_2012,11,DELC01,Délices,1,Bout-du-Monde,6.132306, 46.20533, 0
